Time,Trial,Event,Player.Color,Position.X,Position.Y,Planet.Id,WhiteHole.Interaction.BluePlayer,WhiteHole.Interaction.RedPlayer,Planet.Interaction.BluePlayer,Planet.Interaction.RedPlayer,Asteroid.Interaction.BluePlayer,Asteroid.Interaction.RedPlayer
2020-03-11 12:05:27.711800,11,,,,,,0,0,0,0,0,0
2020-03-11 12:05:30.962000,11,WhiteHole.SinglePlayer.Touch,Blue Player,70.0,65.0,,1,0,0,0,0,0
2020-03-11 12:05:34.451200,11,WhiteHole.SinglePlayer.Trigger,Blue Player,70.0,65.0,,1,0,0,0,0,0
2020-03-11 12:05:34.461200,11,,,,,,0,0,0,0,0,0
2020-03-11 12:05:47.269000,11,Planet.SinglePlayer.Connection,Blue Player,67.0,46.0,6650.0,0,0,1,0,0,0
2020-03-11 12:05:50.069100,11,Planet.SinglePlayer.Exit,Blue Player,68.0,47.0,6650.0,0,0,1,0,0,0
2020-03-11 12:05:50.079100,11,,,,,,0,0,0,0,0,0
2020-03-11 12:05:59.687700,11,Asteroid.SinglePlayer.Connection,Red Player,40.0,68.0,,0,0,0,0,0,1
2020-03-11 12:06:00.207700,11,Asteroid.SinglePlayer.Exit,Red Player,35.0,72.0,,0,0,0,0,0,1
2020-03-11 12:06:00.217700,11,,,,,,0,0,0,0,0,0
2020-03-11 12:06:46.300300,11,WhiteHole.SinglePlayer.Touch,Blue Player,27.0,79.0,,1,0,0,0,0,0
2020-03-11 12:06:49.789500,11,WhiteHole.SinglePlayer.Trigger,Blue Player,27.0,79.0,,1,0,0,0,0,0
2020-03-11 12:06:49.799500,11,,,,,,0,0,0,0,0,0
2020-03-11 12:06:51.018600,11,Planet.Creation,Red Player,34.0,58.0,7316.0,0,0,0,0,0,0
2020-03-11 12:07:01.691200,11,Planet.SinglePlayer.Connection,Blue Player,65.0,44.0,6650.0,0,0,1,0,0,0
2020-03-11 12:07:06.306500,11,Planet.SinglePlayer.Exit,Blue Player,69.0,46.0,6650.0,0,0,1,0,0,0
2020-03-11 12:07:06.316500,11,,,,,,0,0,0,0,0,0
2020-03-11 12:07:10.758700,11,Planet.SinglePlayer.Connection,Red Player,73.0,46.0,6650.0,0,0,0,1,0,0
2020-03-11 12:07:11.556800,11,Planet.SinglePlayer.Exit,Red Player,69.0,46.0,6650.0,0,0,0,1,0,0
2020-03-11 12:07:11.566800,11,,,,,,0,0,0,0,0,0
2020-03-11 12:07:13.006900,11,Asteroid.SinglePlayer.Connection,Red Player,48.0,71.0,,0,0,0,0,0,1
2020-03-11 12:07:15.911000,11,Asteroid.SinglePlayer.Connection,Blue Player,39.0,60.0,,0,0,0,0,1,1
2020-03-11 12:07:16.215100,11,Asteroid.SinglePlayer.Exit,Red Player,43.0,64.0,,0,0,0,0,1,1
2020-03-11 12:07:16.225100,11,,,,,,0,0,0,0,1,0
2020-03-11 12:07:16.237100,11,Asteroid.SinglePlayer.Exit,Blue Player,41.0,60.0,,0,0,0,0,1,0
2020-03-11 12:07:16.247100,11,,,,,,0,0,0,0,0,0
2020-03-11 12:07:21.103300,11,WhiteHole.SinglePlayer.Touch,Red Player,44.0,12.0,,0,1,0,0,0,0
2020-03-11 12:07:21.174300,11,Asteroid.SinglePlayer.Connection,Red Player,49.0,14.0,,0,1,0,0,0,1
