Time,Event,Player.Color,Particle.Type,WhiteHole.Position.X,WhiteHole.Position.Y,Particle.Count,Planet.Id,Planet.Core,Planet.Position.X,Planet.Position.Y,Asteroid.Id,Asteroid.Position.X,Asteroid.Position.Y,Trial Id,Particle.1.Type,Particle.2.Type,WhiteHole.1.Position.X,WhiteHole.1.Position.Y,WhiteHole.2.Position.X,WhiteHole.2.Position.Y,Star.Id,Star.Orbit.Count,Star.Position.X,Star.Position.Y,Planet.Count,BlackHole.Id,BlackHole.Position.X,BlackHole.Position.Y,Object.Id
2020/03/11 10:25:44.6390,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"27,10143","59,75098",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6430,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"26,53147","63,82766",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6470,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,58701","59,74011",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6580,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"27,07258","59,75436",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6610,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"26,46641","63,76098",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6640,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,53725","59,74509",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6750,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"27,05816","59,77154",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6800,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"26,40961","63,70279",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6830,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,4875","59,75006",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6940,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"27,01639","59,78765",4,,,,,,,,,,,,,,,
