Time,Player.Color,Position.X,Position.Y,Pos
2020/03/11 09:35:29.4287,Blue Player,35,48,(35+48j)
2020/03/11 09:35:29.4417,Red Player,41,42,(41+42j)
2020/03/11 09:35:29.4447,Blue Player,34,48,(34+48j)
2020/03/11 09:35:29.4587,Red Player,41,42,(41+42j)
2020/03/11 09:35:29.4627,Blue Player,34,48,(34+48j)
2020/03/11 09:35:29.4757,Red Player,41,42,(41+42j)
2020/03/11 09:35:29.4787,Blue Player,34,48,(34+48j)
2020/03/11 09:35:29.4917,Red Player,41,43,(41+43j)
2020/03/11 09:35:29.4957,Blue Player,34,48,(34+48j)
2020/03/11 09:35:29.5087,Red Player,41,43,(41+43j)
2020/03/11 09:35:29.5127,Blue Player,34,48,(34+48j)
2020/03/11 09:35:29.5247,Red Player,41,43,(41+43j)
2020/03/11 09:35:29.5277,Blue Player,34,48,(34+48j)
2020/03/11 09:35:29.5427,Red Player,41,43,(41+43j)
2020/03/11 09:35:29.5457,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.5587,Red Player,41,43,(41+43j)
2020/03/11 09:35:29.5617,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.5757,Red Player,41,43,(41+43j)
2020/03/11 09:35:29.5787,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.5917,Red Player,41,43,(41+43j)
2020/03/11 09:35:29.5957,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.6087,Red Player,41,43,(41+43j)
2020/03/11 09:35:29.6107,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.6257,Red Player,41,43,(41+43j)
2020/03/11 09:35:29.6287,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.6427,Red Player,41,43,(41+43j)
2020/03/11 09:35:29.6467,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.6587,Red Player,41,43,(41+43j)
2020/03/11 09:35:29.6627,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.6757,Red Player,41,43,(41+43j)
2020/03/11 09:35:29.6787,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.6917,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.6957,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.7087,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.7127,Blue Player,34,47,(34+47j)
